author,rating,comment,date
Ravi Dey,5.0,excellent food service improve many waiter attentive food service atmosphere food service atmosphere,5 months ago
Natalie Pote,5.0,really good italian food one place city manages stay consistent quality taste yes bit premium quality ingredient also good ambience great love openness restaurant time favourite pollo di picante also love pizza literally bar well stocked dessert delicious service good overall definitely treat,11 months ago
Papiya Belel,5.0,pizza lover pretty impressed looking pizza pizza look fresh delicious tasty cheese real served beautifully need break trass place go,7 months ago
Rid Jalan,5.0,full star across board gone dinner good showed next day lunch best italian food eaten long long time easily best italian food eaten india phenomenal pizza starter keep food service atmosphere food service atmosphere,10 months ago
Gitika Sonthalia,4.0,place serf authentic italian food rich taste flavor ambience lively need book table weekday staff service quite slow food worth price perfect place cute dinner date suitable family well must try pizza pesto pasta,a year ago
Zeenat Siddique,3.0,okaish food ordered pasta pizza mark per price food service atmosphere food service atmosphere,4 weeks ago
John Napier,5.0,great food close possible authentic alio e olio cheesy pizza friendly service late night shortcoming serving wine glass two people always want whole bottle vegetarian option good vegetarian menu,8 months ago
Mallik Sivalenka,4.0,food delicious like chilled beer ambience good cold like ice vegetarian option option veg taste good food service atmosphere recommended dish food service atmosphere recommended dish,4 months ago
Amrita Das,4.0,good place chill friend chef special pizza beer place suitable family kind hard available beer price average good option italian lover,4 years ago
Mario Jelavic,4.0,real italian pizzeria heart kokata price higher italy price eat best restaurant kolcata,5 years ago
Jayita Banerjee,3.0,year christmas food u fire ice one u known pizza excited visit place tym ordered pollo pizza coke big enough share people completely value money going quantity taste way simple might mistake selecting right item overall experience,4 years ago
Basically Basit (Mir Basit),5.0,food service atmosphere place fab never get type quality anywhere town food service atmosphere food service atmosphere,4 months ago
Samikshaa Dokania,5.0,fire ice pizzeria offer authentic italian experience chef naples thin crust pizza pasta transport italy one bite pictured margherita pizza spaghetti arrabbiata also must try aglio olio e peperoncino,3 years ago
Juthika Kamdar,5.0,visiting place close year amazing food quick service quality food year well maintained place one must visit good italian wood oven pizza,3 years ago
Stuti Jalan,5.0,definitely recommend place pizza crust amazing quality food perfect one best pizzeria kolkata,2 years ago
Satish Kumar Mahankuda,5.0,place really cozy th interior deaign pleasure eye food good taste flavor cuisine musy try maidan area,6 years ago
Ritwika h,3.0,interior good ambience good food alright expecting little bit better food part cost,6 years ago
smile shrivastav,5.0,visited place kolkata pizza mocktails fire ice pizza best specialty food service atmosphere recommended dish food service atmosphere recommended dish,5 months ago
Debottamaa Sarkar,5.0,one oldest pizzeria town fire ice located convenient place opposite jeevan deep gate maidan metro combine bollywood nostalgia retro italia,4 years ago
Deepak Kumar Biswal,5.0,nice place want try pizza though find le people wo regret restaurant atleast food service atmosphere food service atmosphere,7 months ago
Aprine Musician,5.0,best place pizza italian food would love visit food service atmosphere food service atmosphere,4 months ago
Bibhas Banik,4.0,pollo pizza like mocktail alveredo good like adam choice,3 years ago
Jitagna Mehta,5.0,always looked place visited business lunch last yr first time went family better ever remembered ordered veg platter antipasti pizza grilled vegetable topping also soup simply outstanding ambience good international feel service also good overall great experience expect facility charge person meal,a year ago
Soumyadev Das,5.0,ambiance staff behavior good,a year ago
Martin Schneider,4.0,pizza delicious price one pizza starting r high worth price beer bit expensive therefore overall star price le might given food service atmosphere food service atmosphere,9 months ago
Esita Banik,5.0,nice place authentic pizza heaven pizza lover serve alcohol well good wine collection,4 years ago
Mihir S,1.0,ordered al fungi white sauce pasta fire ice zomato know dish received good rating many area pasta near authentic italian tasted like milk taste repulsive chef know make white sauce pasta cost thigh best pasta half price,a year ago
Rohan hore,4.0,nice ambience pizza tasty picture attached,3 years ago
Drishadwati Bhattacharya,2.0,disappointing experience pizza dry butter sage gnochhi little quantity drink watered bar staff appeared little knowledge mixing drink bad service subpar food drink,8 months ago
Soumitra Bandyopadhyaya,3.0,food good service impersonal upto mark,5 years ago
sheetal bhanage,5.0,hand place must try fir italian food price little high worth spending order two different pizza one food service atmosphere food service atmosphere,7 months ago
Swopnali Ghadage Kadam,5.0,beautiful spacious well maintained place good ambiance fusion food available menu huge must visit place,7 months ago
Deepa Iyer,1.0,one worst pizza ever hard extremely exorbitant price unfriendly staff better avoid place,6 months ago
Risa Mullick,4.0,one best italian city maintaining standard quite sometime food worth cost ambiance classic old school movie type service could better lately,a year ago
ARIJIT GANGULY,4.0,good food expensive make sure checking bill including separate service charge,5 years ago
Arpita Taunk,5.0,place nice mocktails even suggest good mocktails according preference cafe like vibe food service atmosphere food service atmosphere,7 months ago
Anuja,5.0,visited place christmas must appreciate ambience well pizza food service atmosphere recommended dish food service atmosphere recommended dish,4 months ago
Juhi Katara,5.0,tiramisu must try hawaiian pizza good miss food service atmosphere food service atmosphere,4 months ago
Angadraj Singh,5.0,easily best pizza experience kolkata notch others ambience staff polite nearest metro maidan metro slightly overpriced worthy visiting fresh food served great place food service atmosphere food service atmosphere,10 months ago
Susmita Chakraborty,5.0,awesome place try mouth watering pizza affordable price staff well behaved restaurant clean good ambience taste food delicious food service atmosphere food service atmosphere,9 months ago
ashish jaiswal,5.0,ordered magarita pizza liked quantity quality food even packaging good neat,7 months ago
Sparsh Nag,4.0,pleasant evening december beer chatted staff quite good pricey,4 years ago
Viraj Singh Bhutoria,5.0,well maintained italian restaurant variety pizza rissoto pasta various italian dish unique taste especially pizza,10 months ago
navneet bhattar,4.0,nice place italian dish pocket friendly place food service atmosphere parking space somewhat difficult find parking parking option paid street parking food service atmosphere parking space somewhat difficult find parking parking option paid street parking,5 months ago
Anusua Adhikary,5.0,best authentic italian food kolkata food service atmosphere food service atmosphere,a month ago
Rukkku Rukku,5.0,staff friendly respectful whole place clean rare site see india happy food service atmosphere food service atmosphere,7 months ago
Christian Ladisa,5.0,one best restaurant kolkata best pasta best pizza food service atmosphere food service atmosphere,a month ago
Kaushik Meta,5.0,excellent ambience really good food certain item like carbonara slightly expensive good taste food service atmosphere recommended dish carbonara pasta food service atmosphere recommended dish carbonara pasta,7 months ago
L B,5.0,food authentic unlike thoes place indian style italian food,4 years ago
S Sana Syed,5.0,good ambience awesome delicious food definitely place visit family freinds,7 months ago
moumita dutta,5.0,really good italian food quality taste better also decoration place nice food service atmosphere food service atmosphere,9 months ago
Dilpreet Kaur Bedi,4.0,loved bloody mary antipasto platter non veg great visited fire ice almost year fact maintained quality food service say lot place classic indeed,a year ago
Vikash Singh,4.0,really nice place pizza top class interior soothing ambience make good time chatting friend enjoying food drink love pizza got ta atleast,2 years ago
Saikat Ray,5.0,brilliant survived rest time even full food service atmosphere food service atmosphere,3 months ago
Rekha Jadhav,5.0,good place eat nice service probably suggested food service atmosphere recommended dish half half pizza india risotto chicken liver garlic food service atmosphere recommended dish half half pizza india risotto chicken liver garlic,7 months ago
Priyankar Singha,5.0,one favorite restaurant kolkata,4 years ago
shreyash shah,4.0,ordered couple vegeterian pizza place really nice surely would recommend food service atmosphere food service atmosphere,8 months ago
smita parekh,5.0,good place n yum pizza,2 years ago
Arnab Chatterjee,5.0,pollo pizza added becon one delicious pizza kolkata service ambiance restaurant good highly recommended pizza lover,a year ago
Raj Goyal,5.0,closet come dining sicily kolkata food service atmosphere food service atmosphere,a month ago
Rishika,5.0,pizza superb taste appearance staff friendly,7 months ago
Manasa Viputh,5.0,really good italian food one place city manages stay consistent quality taste yes bit premium quality ingredient also good ambience great love openness restaurant time favourite pollo di picante also love pizza literally bar well,7 months ago
harsh Barbigahiya,5.0,first visit place pretty impressed place place pretty good seating area big big bar get kind fusion based food recommend try specialty pasta item pasta good enough person vegetarian need disappointed vegan based food well price higher may enjoy lot however food quality really really awesome cocktail section also good lot variety going friend planning quick bite must visit place vegetarian option verious option vegetarian food service atmosphere recommended dish pesto bacon pizza food service atmosphere recommended dish pesto bacon pizza,8 months ago
kinjal banerjee,3.0,overhyped pizza pie slightly better average topping qty low disappointing tiny bit pepperoni prosciutto cheese strewn lasagne pasta decent chocolate mousse nice thing good service staff super helpful overall slightly better average best,a year ago
Arkadev Bhattacharya,3.0,ham mushroom pizza mozarella cheese tasted good crust well prepared priced serve small amount topping hardly ham piece mushroom costed nearly tax ambience good doubt,a year ago
Siddharth Sethia,4.0,good food extremely noisy food service atmosphere recommended dish food service atmosphere recommended dish,4 months ago
Vikash Parmanandka,5.0,visiting restaurant since year may year service food quality maintained pizza server among best city best part consistent located near metro station easily accessible however parking one car could trouble ambience nice loud music perfect place dinner pizzeria,5 years ago
Piyali Ghosh,4.0,taste good,9 months ago
Joy chakraborty,5.0,looking real taste pizza since came back italy delighted find long based experience certify find authentic taste italy highly recommend place better pay real one waste money fake one trying place,2 years ago
Veeral Kamalia,5.0,place right top list rank best pizza kolkata food great bar twice extremely unhappy behaviour staff staff behaved please come eat way price point food customer walk would expect decent warm welcome blatantly missing luxury dining restaurant road side eatery customer centricity corner stone hospitality industry strongly recommend staff trained usually decent tipper place sigh,3 years ago
Debjit Saha,5.0,good well maintained place food quality good price also reasonable food service atmosphere food service atmosphere,7 months ago
Natasha Sharma,5.0,absolutely fantastic place pizza pasta baked delight go often friend absolute favourite f offer great variety drink absolutely fantastic vibe also good variety menu vegetarian located heart city really convenient reach deserves nothing le star,6 years ago
Ritaja Chakraborty,5.0,cozy comfy casual place good friend family gathering also good warm cozy date night partner food authentic amazing best pizza ever faip definitely visit mind one thing cheap place,5 years ago
Rahul Jain,2.0,well living kolkata year realised place authentic italian actually food taste bland may good people love authentic stuff visited high hope dashed,2 years ago
Samyuktha Prakash,4.0,server preoccupied talking excluding service ambience food good,4 years ago
Flo Yeow,4.0,actually quite like place typically quiet get attention need server said much pricey compared restaurant vicinity one italian restaurant nonetheless give due credit deserve oven fired pizza really good try pasta risotto hand average drink super pricey take note,6 years ago
Pulkit Goswami,5.0,different pizza hometown delhi mean different iced tea amazing bar everything liquor ranging old monk glen little costly side place totally worth staff courteous well,4 years ago
Sayan Banerjee,1.0,worst pizza ever life even r domino pizza far better stupidly expensive add percent service charge without even asking,a year ago
Ankita Gupta,1.0,ordered funghi pizza got hair inside server even apologetic said happens,9 months ago
Rajyashree Dutta,5.0,place look beautiful crowded,2 years ago
Pratip Mazumder,2.0,good old place food good waiter knowledgeable help much idea choose food case made choose tasteless bland concoction maida potato simply horrible felt paid buck plate boiled maida pizza good taken authentic italian trying across india incase think one mentioned bland supposed bad ca hidden italian cover waiter boldly suggested foolish thing,2 years ago
Rohit Kathotia,5.0,always great great food great place good crowd good place bump old friend legend say great pizzeria fire ice vegetarian option enough quite adequate eggless dessert would add variety kid love everything pizza perfect pasta liking loved parmesan shaving get,a year ago
Lakhshya Verma,1.0,well coz heard lot place disappointed outside calcutta friend tell great place called fire ice please get fooled friend nice thing happen come average service average food average ambience service barely server ca even pronounce serving let alone hygiene yes smell horrible get closer serve spoiler alert love trust though restaurant located central place parking nightmare,4 years ago
Manish Mohta,4.0,excellent place italian fare great vegetarian option also serf drink dish fresh nice pizza spaghetti tiramisu nice service fast attentive need ready diisapear pause mid sentence,4 years ago
aishwarya das,5.0,amazing place chill price higher side though,4 years ago
Payal Merchant Kumar,4.0,place known pizza pasta authentic italian service excellent overall good place dine full weekend make sure go place time,a year ago
Ashish Bagree,5.0,half half pizza funghi four cheese along couple beer food great ambiance good bit expensive side okay occasional outing,a year ago
Vikramjit Biswas,4.0,fell love place first time visited ambience great service however last time went quite disappointed see evident change staff behaviour service deteriorated like place whi fail live standard set beginning pizza still tasty however even quantity topping become quite sad tiramisu yummy serve quantity quality compromised,5 years ago
Saswata Kar,5.0,liked food way crowdy food service atmosphere food service atmosphere,5 months ago
mohit vohra,5.0,great time fire ice pizzeria food dessert mocktails point family enjoyed much thanks food service atmosphere food service atmosphere,10 months ago
Nikita Jain,3.0,good ambience good food costly,5 years ago
Swati Ghosh,5.0,yearning authentic italian pizza calcutta look one closest pizza fry italy,a year ago
anindita ghosh,1.0,horrible experience stale prawn seafood pizza entire service staff vikas thappa mr aruna rampal stand argue like food come back restaurant ofcourse extremely agitated angry wanted pay rest bill stale pizza,2 years ago
Arhan Sett,4.0,though slightly pricey side food excellent wait staff cordial friendly part restaurant weird quirk condiment refused serve friend parmesan shaving garnish antipasti expensive product however say included vegetarian antipasti strange occurrence perhaps one consider thinking visiting however detract quality food,5 years ago
Debayan Aich,2.0,pizza price ok ca said drink price coke worth buck seems unresonable pizza good crust thin taste recommended hungry,2 years ago
Husrav Turdiev,3.0,pizza tasted surprise amazing premise fact large spacious sure local area price may bit high since tax added amount almost double price food obviously always improvement opportunity,3 years ago
Dnyaneshwar Harale,5.0,pleasing ambience delicious food soothing italian music playing background best describe fire ice pizzeria food service atmosphere food service atmosphere,7 months ago
Samya Subhro Roy,5.0,pizza awesome ambience service great,2 years ago
Bharadwaj Korni,5.0,friday night deepavali weekend crowded managed sneak find place heavenly pizza prompt service place old world charm,a year ago
Jitendra Sahoo,5.0,neat clean please positive ambiance nice service,7 months ago
A Goel,1.0,atrocious service attitude focus group table female guest attention customer calling course free go counter ask attention lengthy explanation food tasting way pasta arrabiata reek something sour lasagna tasted stale piece burnt portion small low value money italian food restaurant beer expensive whisky wine,5 years ago
Nikita Saraf Vaid,5.0,classic place town italian cuisine simply love food ambience amazing service food must must visit looking authentic italian food kolkata,a year ago
Matt Timoney,2.0,expensive pizza bad pizza special either get awesome steak burger much better establishment kolkata much le pizza worth visit even average sized bottle water rupee almost time price restaurant area beer ridiculously pricey want pay nose average meal drink place come check bill well usual city try overcharge billed pizza menu advertised,3 years ago
NIRMALA B,5.0,good place good pizza nice taste reasonable price,7 months ago
venky dara,4.0,best italian food awesome mocktails loved visit food service atmosphere food service atmosphere,7 months ago
Aniruddha Bhattacharya,3.0,star deducted find drink food slightly overpriced one older pizzeria need work price beverage food b quality dough pizza c marinara sauce pizza slightly deviated main italian charm tried tap cuisine,2 years ago
Chirag Jain,4.0,food good service fast also like blast loud music like nice restaurant thought bit dark furniture getting bit old place probably getting close needing facelift,4 years ago
Shanu Poddar,4.0,pizza good would come try thing would recommend go group enjoy stuff apart pizza,a year ago
