author,rating,comment,date
Sayani Sengupta,5.0,"There is only one word to express the experience here - ""Amazing"". We went for lunch,  we had to wait a little bit but it was worth it. We had Prosciutto de Fungi (12 inch Pizza with Tomato Sauce, Mozzarella, Ham, Fresh Mushrooms), Risotto with chicken livers and Stewed Octopus. Everything was delicious. This place is probably the best Italian restaurant in Kolkata. I had the best pizza of my life ( till now ). Tried Risotto for the first time, which didn't disappoint. Octopus was also great. Only disappointment was that we couldn't try the gelato as the gelato machine was not functional. I hope they will fix it in time for our next visit! Overall a big thumbs up to the owner and the staff.",2 years ago
Puneet Arora,2.0,"Great ambience but below average pizza with above average price, we went there looking at the great reviews and loved the vibe of place but the most important thing pizza, not at all worth it, and at that price it s a no for sure. Bell peppers were like boiled or precooked on the pizza and pizza sauce was also missing the flavour.",9 months ago
Evie Jalan,5.0,"Heyyy, I had amazing experience, we went on next day again, because food is so good. Next time in Kolkata we are with you guys  . Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",10 months ago
Sevin Ceviker,5.0,"From the moment you walk in, the staff is very friendly and respectful. The whole place was clean, which is a rare site to see in India, we I was very happy about it. Finally was able to order a salad that had salad material and tasted delicious. Pizza had fresh and tasty condiments and cheese was real. Cannot skip the margarita that was well needed and served beautifully. If you need a break from all the spice and need to be served napkins and utensils and be served with respect, this is a place to go. It is not a white table cloth service place, but it s own charm and the Movie posters On the walls with tasty food makes your money well spent. FYI it is on the pricey side. Most we spent on a single meal in 45 days, but we had 2 drinks, an app, a large pizza and a salad. ",a year ago
Enrico Pere,5.0,"I m italian, living in India since 6 years (Bangalore) and the pizza in Fire and Ice is the best I got in India so far. I had dinner twice and, in both cases, I enjoyed the food quality, the pleasant ambience and the kind and attentive staff. For sure this is going to be my landmark for my future stays in Kolkata. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Pizza Napolitana Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Pizza Napolitana ",a month ago
Dev,5.0,"The food is great and gives you the sense of Italian cuisine at its best. As for the service the stewards there are very polite and are ready to help customers. The environment also gives you the feeling of Italy with classical music in the background Food : 5/5   |   Service : 5/5   |   Atmosphere : 4/5 Recommended dishes 
Antipasti, Pesto Bacon Pizza, Half &Half Food : 5/5   |   Service : 5/5   |   Atmosphere : 4/5 Recommended dishes 
Antipasti, Pesto Bacon Pizza, Half &Half ",2 months ago
Soumya Jana,5.0,"What can I say.. the pizza, the salads , the antipasti are from heaven..the best pizza restaurant in town.. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",3 months ago
Godhuli Biswas,5.0,"This is a nice place. But if you want to try pizza, take someone with you because they serve 11"" pizza. The food here is really good. The staff are friendly. The ambience is nice too. Though you will find less people over here, but you won't regret this restaurant atleast once.",2 years ago
Debajyoti Guha,4.0,"Uppish place, price is moderately high for college students. The taste is good, although I found the pizza bread, the onions were nearly fried to a crisp atthe edges. The drink menu is quite diverse , however the price as I said is moderately high. Overall, the ambience is nice and good enough for a first-date or casual hangout . Food : 4/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 4/5   |   Service : 5/5   |   Atmosphere : 5/5 ",4 months ago
Jaimish Ashar,5.0,This was super exciting for me because I visited their Sri Lankan restaurant back in early 2020 and then their Kolkata one in Aug 22 and the pizzas tasted just as good. Most people don't know the story behind how this place started but it has very authentic roots.,a year ago
ruchir gulati,4.0,"Excellent food - their range of antipasti and artisan pizzas are wonderful. The service was fairly quick and the food was superb. It was hot, flavors we're well balanced, and presentation was easy on the eyes. The place also has a good ambience. One thing that they could probably explore, looking at the trend of new pizza joints coming up across the city, is have a wood-fired oven. I have personally tried some of this fare and the smoky effect caused by the wood is beyond words! That said fire and ice still remains as one of the city's best Italian fine-dining restaurants.",5 years ago
Ishita Chatterjee,4.0,"Visited this place last month. It is surely a must visit place for all those who love Italian food. The place has a nice ambiance with courteous staff and beautifully decorated interior. It was a long day and we were not that hungry so we ordered only 2 dishes. 1. Fire of Bengal - This is among their recommended dishes, though I particularly did not like it that much. The pizza was kind of dry and it was constantly making me thirsty. But the concept is surely something new that I haven't tasted anywhere else before. It had Mutton keema, green chilies and lots of coriander leaves. Typical Bengali taste, on a thin crusted pizza. Quite innovative. 2. Pasta e Polpettine - It is basically Spaghetti with Meat Balls in tomato sauce. As one can understand it has a tangy taste to it and the meatballs are really well made. Wanted to try other varieties as well, but the pizza was too big and we were too full to try anything else. ",5 years ago
"ViDeNite TrailblazersViatrix  NiViDe Casa  ViRawNi,DeeRaw & NikNi",5.0,"74th                  calls for an inhouse celebrations and a quick drive to pickup the order. Yummylicious food from Fire and Ice completed our celebrations. They stand true to the their mentioned phrase ""Big enough to share"",each dish portion is enough for 2-3 people to share and store for a lazy next day brunch.They abide by the COVID rules. The smiling welcome can now be heard in the voice of the security and serving  personnel .The hygiene  is well maintained. We miss enjoying food as a dine in however the taste doesn't miss a mark. Being a family feast the review too is a family review. Its a 5/5 reportcard. Fire and Ice Kolkata gets its mozzarella through The                   , which operates out of a dairy at the Sonarpur-based                                      . The              project loans women the cows and the repayment of the loan is made with milk, which is then made into fresh cheese every day. So be rest assured to taste handcrafted #Vocal4Handmade fresh cheese. Parking here is not an issue. The  spaghetti (                )is Al dente and flavoured well enjoyed with cherry tomatoes, mushrooms and chicken breast. The calzone (Folded Pizza) is a healthy overload of            ,         and Spinach.They are a reason we love                 and kid pizza. Reviewed them after 2 visits. #BharatMataKiJai                 #JaiHind #WakhraSwag #                       #           (                               ) #     _       #SkillIndia #    _      _     #   _  _          #MakeInIndia #       _       #               #                                  ",3 years ago
Jaswant Sokey,4.0,"The prawn Bolognese was an interesting iteration of the traditional meat (mutton) version. The salad was very fresh, but the added zest of roasted sesame seeds was missed. The lemmon meringue pie was a little too tarty. Overall the items are priced very high (that's why the four stars). Parking: Take an Uber, or taxi, since the area never has available parking space for personal vehicles.  Kid-friendliness: It is suitable for family gatherings.  ",a year ago
Titas Ganguly,1.0,Although the food can be classified as mediocre (by Kolkata standards) the disgusting behaviour of the manager (not other employees) seals the deal for receiving one star. Would not visit here again. Better options are available at same price range. ,5 months ago
Sai Baba,5.0,The ambience was absolutely amazing but I'm a little disappointed with the pizza. I went there seeing amazing reviews but maybe it's because it was 9pm when we went - the waiter suggested we take half-half pizza but they'd take 10% extra of total prize . We agreed cause we were excited to taste the famous pizzas there.a Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,3 months ago
Sumit Pandey,5.0,"One of the best places to have Italian cuisine in Kolkata. I had a craving for authentic Italian food and the visit to fire and ice pizzeria was totally worth it. The restaurant is exquisite and suave. They have a diverse menu with good Italian dishes ranging from soups, starters, pizza, pasta, spaghetti, lasagnas and what not. They served the dishes and they all tasted amazing. They kept it in most authentic manner possible. The pizzas baked in wood ovens had great texture and taste. The mushroom soup was out of its league of soups very buttery and smooth. They serve pasta in two versions and both white sauce ariabatta and red sauce alfredo was superb. The vegetable lasagna was very cheesy and saucy. The flavour used and sauces and spices all were just superb. Though the prices are little over the par but the quality of food and genuine recipes make this place a treat. They also have a full functional bar with all good brands of liquor available. They have a mean apple pie and chocolate mousse cake as well. In total want to have a chilled out italian treat? Enter fire n ice pizzeria. ",5 years ago
Abdullah Al Faruque,4.0,"Good Restaurant. Good service, Good Behaviour. It's for the very rich and upper class people as items are having very high price. ",2 months ago
Hemant Dakhore,4.0,"This is my first visit to this place and I am pretty impressed with this place. This place has pretty good ambience. The seating area is quite big and has an open bar. You will get all kind of fusion based foods. I recommend to try their specialty pasta items. 1 pasta is good enough for 2 person. They also serve huge pizzas, risotto and other Italian items. If you are a vegetarian there is no need to be disappointed as they have vegan based foods as well. The price is little on higher side. However, the food quality is really really awesome. The cocktail section is also good and has lots of varieties. If you are going out with friends and planning for a quick bite, you must visit this place. The pocket pinch is approximately 1000 for two. A recommended place to visit.",7 months ago
Sanam Chauhan,1.0,"Google must have 0 star policy also !! I would have given a Zero rating to this spot. I ordered a lemonade, 12 inch pizza (Melanzane) and Aglio Olio. 1. Lemonade (Rs 140) : U will get one Cottons lemon drink (just like campa cola in North) in a bottle and one empty glass with straw and a slice of lemon. Therefore, u have to pay Rs 140 for a 25 rupee soft drink bottle. 2. Aglio Olio : Worst thing to try here it was just Yuck !!  Please don't try it here else u won't try Italiano ever in your life. (Wasted about rs 600-700) 3. Melanzane Pizza: Exorbitantly priced + in the name of Toppings u will get a very thin slice of capsicum. Please don't go by the Positive ReViews, it's a TRAP !! Instead if you visit there Do Try Russel Punjabi Dhaba :) Sardarji's Paratha, Lassi & Kesar Chai was just awesome 5/5. I regretted later on by visiting this Fire pizza store and not visiting Sardarji's restaurant. Advice to the owner :: Please consider the review and do the needful. Staff persons were cooperative only the food was not good which is the main reason why people come here hence 1/5 Stars. ",4 months ago
DR VINEET NAIR,4.0,"Located at Kanak Building, Jawaharlal Nehru Rd, Park Street area, Kolkata, West Bengal 700071, Fire and Ice Pizzeria is a casual dining that specializes in Italian cuisine. This stylish restaurant is a top pick for those looking for a genuine Italian meal. The menu extends far beyond their signature pizzas to include everything from crostinis and bruschettas to pastas, risottos and paninis made with fresh-baked focaccia. The focus is on authentic, home-style food, the kind  nonna  makes. The only local touch to their menu is the Fire of Bengal pizza topped with spicy mutton, green chillies and coriander leaves   it is one of their bestsellers.",3 years ago
AMIT JAIN,4.0,One of the best pizzas available in town. Great ambience and service. Though pricey but worth it! Parking is difficult so one should keep in mind. ,a year ago
Sayani Sarkar,5.0,Hands down this place is a must try fir Italian food. Prices are little high but worth spending. You can order two different pizzas in one ,a year ago
Satish Pandey,4.0,"Beautiful, spacious and well maintained place with extremely courteous staff. Great spot to try out great pizza at a good price, especially loved their base tomato sauce which seemed to be made in-house. Iced teas were a bit boring tasting",7 months ago
MotoHolic Sergey,5.0,"The ambiance and the service in this place is amazing. One of the best pizzas I had outside of home. Really fast service, delicious food, prices are slightly on the higher end, but once in a blue moon I can afford to treat myself to some quality Italian food.",5 years ago
rituparna nandan,5.0,"Wonderful experience as always. The best authentic pizza in town. Do try their au quattro formaggio and Spaghetti Bolognese. Their lemon meringue pie, Victoria sponge cake and affogato are to die for.",3 years ago
Kaushik Chakraborti,4.0,"we had chicken pizza, fire of bengal pizza with mutton keema, white sauce pasta and tirramisu, with 2 movktails. White sauce pasta and tiramisu were exquisite but pizzas though not bad and different seemed a bit overhyped",a year ago
Mritunjay Patra,4.0,"Had order variety of pizza, all of the where excellent. I personally loved fire of Bengal as it was loaded with Indian flavours, mutton keema, green chillies and dash of coriander as well. Ambience is very good. Great place to enjoy pizza with beer.",4 years ago
Sayani Deb,4.0,I tried Ai Quattro Formaggi...the taste was authentic...must visit... would love to visit again   Food : 4/5   |   Service : 3/5   |   Atmosphere : 3/5 Food : 4/5   |   Service : 3/5   |   Atmosphere : 3/5 ,11 months ago
Madhulima Saha,5.0,Lovely pizzeria at Park street. Just discovered it although it has been there for many years and I had great fun there. Good choices of Pizza. Ordered my fav pepperoni n Tequila sunrisa.,4 years ago
Pranay Bansal,5.0,"Although the ambience wasn't the best for an authentic Italian pizzeria, this place had too good food for me to be disappointed. I was left licking my fingers even after I was completely full with pizzas and lasagna and starters. The cherry on the top was the waiter who was enthusiastically heloing us through the entire meal. Loved the place. Definitely recommend. Food : 5/5   |   Service : 5/5   |   Atmosphere : 4/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 4/5 ",7 months ago
Surendranath Reddy,4.0,"Really good Italian food. One of the few places in the city which has manages to stay consistent with their quality and taste. Yes, it s a bit premium but the quality of their ingredients is also very good. The ambience is great and I love the  openness  of the restaurant. My all time favourite is the pollo Di picante, also love their pizzas (literally all of them), the bar is well stocked, desserts are delicious and the service is good, overall. Definitely a treat Food : 4/5   |   Service : 4/5   |   Atmosphere : 4/5 Recommended dishes 
Mocktail Food : 4/5   |   Service : 4/5   |   Atmosphere : 4/5 Recommended dishes 
Mocktail ",7 months ago
matthew pretorius,5.0,Pizza was terrible. Service was good and atmosphere not bad. Food : 2/5   |   Service : 4/5   |   Atmosphere : 3/5 Food : 2/5   |   Service : 4/5   |   Atmosphere : 3/5 ,a week ago
Abhinav Sharma,4.0,Had first been to this place in 2010 and fell in love with the ambience and the food. Recently visited again after almost 13 years. Got slightly disappointed with the food but rest everything especially the service and ambience was great.. Food : 4/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 4/5   |   Service : 5/5   |   Atmosphere : 5/5 ,5 months ago
Niraag Shah,4.0,"One of the oldest Pizza Place in Kolkata. Great food, great service, great options, great ambiance. A must go place if you are visiting the city. Vegetarian options: Not so many options in vegetarian food. Kid-friendliness: Yes, you can bring your kids here without any hesitation. Wheelchair accessibility: Can easily bring a wheelchair here Food : 4/5   |   Service : 5/5   |   Atmosphere : 3/5 Recommended dishes 
Bruschetta Al Pomodoro, Pizza India

 Parking space 
Somewhat difficult to find parking

 Parking options 
Free street parking Food : 4/5   |   Service : 5/5   |   Atmosphere : 3/5 Recommended dishes 
Bruschetta Al Pomodoro, Pizza India

 Parking space 
Somewhat difficult to find parking

 Parking options 
Free street parking ",5 months ago
Namrota Sinha,5.0,"Amazing, family and coulple friendly place ! They offer Italian delicacy at best , I tried vodka martini , pizza , pasta , tiramisu and chocolate moose ! A little bit expensive this place",4 months ago
Monalisa Singh Roy,5.0,"The Best pizza place in Kolkata, without any doubt! Prices are on the higher end, but totally worth every dime.",3 years ago
Joyaprita Samanta,2.0,"The food was not upto mark, the pizza bread was hard and the main reason to this low rating is they charged service tax in bill even after GST and when asked upon they tried to manage it by saying that it is optional. If it is optional it shouldn't be present in the bill the first time right.. if the customers doesn't asks they are forced to pay service tax along with GST which is not fair.",5 years ago
Ashish Gulgulia,3.0,Taste was okay okay. If you are a fan of pizza then you can experiment with different toppings. Not worth  the price ,5 years ago
Sheetal Sahal,3.0,"I went to this place as i heard a lot about this place but i dnt like it much. Service was not good ,food was ok",3 years ago
Magi K,5.0,Best Italian restaurant.. U get pasta & pizza too   yummy. Nice Ambience too. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,4 months ago
Anshul Sharma,5.0,It s quite rare you come across such fine experience. The pizza was mouthwatering delicious and satisfying. Couldn t wait to get back to this place again. ,2 years ago
bala gopal,4.0,Well maintained place with extremely courteous staff. Great spot to try out great pizza at a good price,5 months ago
Jitesh Gupta,5.0,Remember about pizza and the name which comes in my mind is fire and ice pizzeria.. truly delicious and cheesy pizza available out here.. do check out this place i assure u won't be disappointed,a year ago
SHADAB AHMED,5.0,"Had a visit with office friends. The food is worth the price. The ambience is absolutely amazing. Ordered La Marinara and a dessert. Very very tasty. They have offers sometimes as well. Vegetarian options: Amazing vegetarian food. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Pollo Pizza Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Recommended dishes 
Pollo Pizza ",7 months ago
Stephan Wu,4.0,One of the more authentic Italian restaurant in Kulkata. However quite expensive for local standard. Very clean and enjoyable atmosphere!,6 years ago
Aayati Sengupta,3.0,"I've been going to Fire and Ice for the last ten years on again off again. One thing that has been consistently good is their pizza. However, a lot else has slipped through the cracks. Yesterday's visit was after quite a few years. There was a temperature check and hand sanitizing at the entrance. After which we were shown to our table. The place was relatively uncrowded (we had seen jampacked restaurants on our walk from Park Street to there) which was a bonus in my book because of the pandemic. However, I was disappointed to find that the salt and pepper shakers in our table as well as the next were empty; my ginger ale was served in a can without mint leaves even though I had specified that a couple of mint leaves be provided, and the chilli oil had clearly outlived its days. The bottle of chilli oil on our table had ancient chillies and their was no heat in the oil. That was also disappointing since I was introduced to good chilli oil for pizzas at Fire and Ice only. I hope that the establishment puts in a little bit of effort into getting the place back to its original days. However, the pizza still tastes great - soft, flaky, thin crust, fresh cheese and fresh marinara and fresh ingredients! ",2 years ago
Sayantani Chatterjee,5.0,Amicable environment.... Quick and precise service.... Pricey but good food,a year ago
Disha Dugar,5.0,"The Food is amazing as usual, and I found parking in the nearby Building to add! Great Ambience, Niche crowd, Soulful food!",3 years ago
Proshanto Dutta,5.0,One of the best experiences I have had in a while at any restaurant. Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 4/5   |   Atmosphere : 5/5 ,a month ago
Non Microwaveable,5.0,"This place has a very interesting vibe, like old world Italy (the decor, choice of music) meets an upscale cosmopolitan pizzeria (again, the decor, the swanky bar). It is a tad expensive, but the food makes up for it if you order right. My go-to is the Paesana (spinach and bacon, I know!) and it never disappoints.",5 years ago
Nallipogu Chandu,5.0,"Chill ambience, Great Pizzas and Cocktail! The images shown have Fire n Ice pizza and their Funghi. Both highly recommended and for cocktail we ordered Long Island Iced tea which was refreshing in the afternoon heat.",7 months ago
Sharmila Chakravorty,5.0,Very nice food with a lively ambience! Highly recommended Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,a month ago
Tuhin Adhikary,5.0,"I've been to this place on a number of occasions but probably writing a review for fire and ice for the first time. Personally I've enjoyed dining here everytime I went. Food quality and variety is really good. Ambience is friendly. However you might find the price a notch higher. To summarise, it's a very nice place for family dining. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ",8 months ago
Ravi Dey,5.0,Excellent food. Service can improve. So many waiters but not attentive. Food : 5/5   |   Service : 4/5   |   Atmosphere : 4/5 Food : 5/5   |   Service : 4/5   |   Atmosphere : 4/5 ,5 months ago
Natalie Pote,5.0,"Really good Italian food. One of the few places in the city which has manages to stay consistent with their quality and taste. Yes, it s a bit premium but the quality of their ingredients is also very good. The ambience is great and I love the  openness  of the restaurant. My all time favourite is the pollo Di picante, also love their pizzas (literally all of them), the bar is well stocked, desserts are delicious and the service is good, overall. Definitely a treat",11 months ago
Papiya Belel,5.0,"I am pizza lovers so pretty impressed with looking this pizza. Pizza looks are very fresh, delicious, tasty, and cheese was real. Served very beautifully. If you need a break from all Trass so this is a place to go.",7 months ago
Rid Jalan,5.0,Full stars across the board. We had gone for dinner and it was so good we showed up next day for lunch. The best Italian food I've eaten in a long long time. And easily the best Italian food I've eaten in India. Phenomenal pizzas & starters keep it up. Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,10 months ago
Gitika Sonthalia,4.0,"The place serves authentic Italian food with its rich taste and flavors. Ambience is very lively, No need to book a table on weekdays, the staff service is quite slow. Food is worth the price. Perfect place for cute dinner dates, suitable for family as well. Must try pizza and pesto pasta. ",a year ago
Zeenat Siddique,3.0,Okaish food. I ordered pasta and Pizza both were not up to Mark as per their price . Food : 2/5   |   Service : 2/5   |   Atmosphere : 2/5 Food : 2/5   |   Service : 2/5   |   Atmosphere : 2/5 ,4 weeks ago
John Napier,5.0,Great food - close as possible to authentic alio e olio and not too cheesy pizza. Very friendly service late at night. Only shortcoming is not serving wine by the glass: two people don't always want a whole bottle. Vegetarian options: Very good vegetarian menu. ,8 months ago
Mallik Sivalenka,4.0,"Food is delicious and you like to have a chilled beer and the ambience is very good and cold like an ice Vegetarian options: You have more options in  veg and the taste is very good Food : 4/5   |   Service : 5/5   |   Atmosphere : 4/5 Recommended dishes 
 Food : 4/5   |   Service : 5/5   |   Atmosphere : 4/5 Recommended dishes 
 ",4 months ago
Amrita Das,4.0,"Good place to chill with friends, have some chef special pizza and beer. The place is suitable for families too. All kinds hard are available. Beer price is average. All in all a good option for Italian lovers.",4 years ago
Mario Jelavic,4.0,A real Italian pizzeria in the heart of Kokata. Price is higher than in Italy. For this price you can eat at the best restaurants in Kolcata.,5 years ago
Jayita Banerjee,3.0,"This year's christmas was all about food for us... Fire and ice was one of the food-stops for us. Known for its pizzas, we were very excited to visit this place for some tym now. We ordered pollo pizza with a coke, it was big enough to share between 3 people. Completely value for money going by the quantity, but the taste was way too simple. Again that might have been our mistake in selecting the right item. Overall the experience was all-right.",4 years ago
Basically Basit (Mir Basit),5.0,The food service atmosphere at this place is fab you ll never get this type of quality from anywhere in the town Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 Food : 5/5   |   Service : 5/5   |   Atmosphere : 5/5 ,4 months ago
Samikshaa Dokania,5.0,"Fire and Ice pizzeria offers you the most authentic Italian experience - all by a chef from Naples. Their thin crust pizzas and pastas will transport you to Italy in one bite. Pictured: Margherita pizza, and Spaghetti Arrabbiata. Also must try: Aglio olio e peperoncino          ",3 years ago
Juthika Kamdar,5.0,I have been visiting this place for close to 10-12 years. Amazing food and quick service. The quality of food over the years have been well maintained and its a place one must visit for good Italian wood oven pizza.,3 years ago
Stuti Jalan,5.0,I definitely recommend this place for its pizza. The crust is amazing and the quality of the food is just perfect. One of the best pizzerias in kolkata.,2 years ago
Satish Kumar Mahankuda,5.0,The place is really cozy. Th interior deaign is pleasure to the eyes. The food is good in both taste and flavor of the cuisine. Musy try in maidan area!,6 years ago
Ritwika h,3.0,The interior is good. Ambience is good. Food is alright. I was expecting a little bit better on the food part because of the cost.,6 years ago
