author,rating,comment,date,sentiment
Subhrajit Barui,4.0,first visit place pretty impressed place place pretty good ambience seating area quite big open bar get kind fusion based food recommend try specialty pasta item pasta good enough person also serve huge pizza risotto italian item vegetarian need disappointed vegan based food well price little higher side however food quality really really awesome cocktail section also good lot variety going friend planning quick bite must visit place pocket pinch approximately two recommended place visit,a year ago,positive
L M,5.0,wonderful discovery around corner airbnb modern stylish clean staff super friendly take order came quickly prosciutto mushroom pizza delicious want try pasta next,a year ago,positive
Shivansh Shaw,2.0,idk food ordered worth preference around people u review also poor management service tf serf origano chili flake bowl ambience pretty nice food service atmosphere food service atmosphere,10 months ago,positive
Arghyanir Giri,5.0,chill ambience great pizza cocktail image shown fire n ice pizza funghi highly recommended cocktail ordered long island iced tea refreshing afternoon heat,a year ago,positive
Sayani Sengupta,5.0,one word express experience amazing went lunch wait little bit worth prosciutto de fungi inch pizza tomato sauce mozzarella ham fresh mushroom risotto chicken liver stewed octopus everything delicious place probably best italian restaurant kolkata best pizza life till tried risotto first time disappoint octopus also great disappointment could try gelato gelato machine functional hope fix time next visit overall big thumb owner staff,2 years ago,positive
Puneet Arora,2.0,great ambience average pizza average price went looking great review loved vibe place important thing pizza worth price sure bell pepper like boiled precooked pizza pizza sauce also missing flavour,9 months ago,positive
Evie Jalan,5.0,heyyy amazing experience went next day food good next time kolkata guy food service atmosphere food service atmosphere,10 months ago,positive
Sevin Ceviker,5.0,moment walk staff friendly respectful whole place clean rare site see india happy finally able order salad salad material tasted delicious pizza fresh tasty condiment cheese real skip margarita well needed served beautifully need break spice need served napkin utensil served respect place go white table cloth service place charm movie poster wall tasty food make money well spent fyi pricey side spent single meal day drink app large pizza salad,a year ago,positive
Enrico Pere,5.0,italian living india since year bangalore pizza fire ice best got india far dinner twice case enjoyed food quality pleasant ambience kind attentive staff sure going landmark future stay kolkata food service atmosphere recommended dish pizza napolitana food service atmosphere recommended dish pizza napolitana,a month ago,positive
Dev,5.0,food great give sense italian cuisine best service steward polite ready help customer environment also give feeling italy classical music background food service atmosphere recommended dish antipasti pesto bacon pizza half half food service atmosphere recommended dish antipasti pesto bacon pizza half half,2 months ago,positive
Soumya Jana,5.0,say pizza salad antipasti heaven best pizza restaurant town food service atmosphere food service atmosphere,3 months ago,positive
Godhuli Biswas,5.0,nice place want try pizza take someone serve pizza food really good staff friendly ambience nice though find le people wo regret restaurant atleast,2 years ago,positive
Debajyoti Guha,4.0,uppish place price moderately high college student taste good although found pizza bread onion nearly fried crisp atthe edge drink menu quite diverse however price said moderately high overall ambience nice good enough casual hangout food service atmosphere food service atmosphere,4 months ago,positive
Jaimish Ashar,5.0,super exciting visited sri lankan restaurant back early kolkata one aug pizza tasted good people know story behind place started authentic root,a year ago,positive
ruchir gulati,4.0,excellent food range antipasti artisan pizza wonderful service fairly quick food superb hot flavor well balanced presentation easy eye place also good ambience one thing could probably explore looking trend new pizza joint coming across city oven personally tried fare smoky effect caused wood beyond word said fire ice still remains one city best italian restaurant,5 years ago,positive
Ishita Chatterjee,4.0,visited place last month surely must visit place love italian food place nice ambiance courteous staff beautifully decorated interior long day hungry ordered dish fire bengal among recommended dish though particularly like much pizza kind dry constantly making thirsty concept surely something new tasted anywhere else mutton keema green chilies lot coriander leaf typical bengali taste thin crusted pizza quite innovative pasta e polpettine basically spaghetti meat ball tomato sauce one understand tangy taste meatball really well made wanted try variety well pizza big full try anything else,5 years ago,positive
"ViDeNite TrailblazersViatrix  NiViDe Casa  ViRawNi,DeeRaw & NikNi",5.0,call inhouse celebration quick drive pickup order yummylicious food fire ice completed celebration stand true mentioned phrase big enough share dish portion enough people share store lazy next day abide covid rule smiling welcome heard voice security serving personnel hygiene well maintained miss enjoying food dine however taste miss mark family feast review family review reportcard fire ice kolkata get mozzarella operates dairy project loan woman cow repayment loan made milk made fresh cheese every day rest assured taste handcrafted fresh cheese parking issue spaghetti al dente flavoured well enjoyed cherry tomato mushroom chicken breast calzone folded pizza healthy overload reason love kid pizza reviewed visit bharatmatakijai jaihind wakhraswag skillindia makeinindia,3 years ago,positive
Jaswant Sokey,4.0,prawn bolognese interesting iteration traditional meat mutton version salad fresh added zest roasted sesame seed missed lemmon meringue pie little tarty overall item priced high four star parking take uber taxi since area never available parking space personal vehicle suitable family gathering,a year ago,positive
Titas Ganguly,1.0,although food classified mediocre kolkata standard disgusting behaviour manager employee seal deal receiving one star would visit better option available price range,5 months ago,negative
Sai Baba,5.0,ambience absolutely amazing little disappointed pizza went seeing amazing review maybe went waiter suggested take pizza take extra total prize agreed cause excited taste famous pizza food service atmosphere food service atmosphere,3 months ago,positive
Sumit Pandey,5.0,one best place italian cuisine kolkata craving authentic italian food visit fire ice pizzeria totally worth restaurant exquisite suave diverse menu good italian dish ranging soup starter pizza pasta spaghetti lasagna served dish tasted amazing kept authentic manner possible pizza baked wood oven great texture taste mushroom soup league soup buttery smooth serve pasta two version white sauce ariabatta red sauce alfredo superb vegetable lasagna cheesy saucy flavour used sauce spice superb though price little par quality food genuine recipe make place treat also full functional bar good brand liquor available mean apple pie chocolate mousse cake well total want chilled italian treat enter fire n ice pizzeria,5 years ago,positive
Abdullah Al Faruque,4.0,good restaurant good service good behaviour rich upper class people item high price,2 months ago,positive
Hemant Dakhore,4.0,first visit place pretty impressed place place pretty good ambience seating area quite big open bar get kind fusion based food recommend try specialty pasta item pasta good enough person also serve huge pizza risotto italian item vegetarian need disappointed vegan based food well price little higher side however food quality really really awesome cocktail section also good lot variety going friend planning quick bite must visit place pocket pinch approximately two recommended place visit,7 months ago,positive
Sanam Chauhan,1.0,google must star policy also would given zero rating spot ordered lemonade inch pizza melanzane aglio olio lemonade r u get one cotton lemon drink like campa cola north bottle one empty glass straw slice lemon therefore u pay r rupee soft drink bottle aglio olio worst thing try yuck please try else u wo try italiano ever life wasted r melanzane pizza exorbitantly priced name topping u get thin slice capsicum please go positive review trap instead visit try russel punjabi dhaba sardarji paratha lassi kesar chai awesome regretted later visiting fire pizza store visiting sardarji restaurant advice owner please consider review needful staff person cooperative food good main reason people come hence star,4 months ago,positive
DR VINEET NAIR,4.0,located kanak building jawaharlal nehru rd park street area kolkata west bengal fire ice pizzeria casual dining specializes italian cuisine stylish restaurant top pick looking genuine italian meal menu extends far beyond signature pizza include everything crostinis bruschettas pasta risotto panini made focaccia focus authentic food kind nonna make local touch menu fire bengal pizza topped spicy mutton green chilli coriander leaf one bestseller,3 years ago,positive
AMIT JAIN,4.0,one best pizza available town great ambience service though pricey worth parking difficult one keep mind,a year ago,positive
Sayani Sarkar,5.0,hand place must try fir italian food price little high worth spending order two different pizza one,a year ago,positive
Satish Pandey,4.0,beautiful spacious well maintained place extremely courteous staff great spot try great pizza good price especially loved base tomato sauce seemed made iced tea bit boring tasting,7 months ago,positive
MotoHolic Sergey,5.0,ambiance service place amazing one best pizza outside home really fast service delicious food price slightly higher end blue moon afford treat quality italian food,5 years ago,positive
rituparna nandan,5.0,wonderful experience always best authentic pizza town try au quattro formaggio spaghetti bolognese lemon meringue pie victoria sponge cake affogato die,3 years ago,positive
Kaushik Chakraborti,4.0,chicken pizza fire bengal pizza mutton keema white sauce pasta tirramisu movktails white sauce pasta tiramisu exquisite pizza though bad different seemed bit overhyped,a year ago,negative
Mritunjay Patra,4.0,order variety pizza excellent personally loved fire bengal loaded indian flavour mutton keema green chilli dash coriander well ambience good great place enjoy pizza beer,4 years ago,positive
Sayani Deb,4.0,tried ai quattro formaggi taste authentic must visit would love visit food service atmosphere food service atmosphere,11 months ago,positive
Madhulima Saha,5.0,lovely pizzeria park street discovered although many year great fun good choice pizza ordered fav pepperoni n tequila sunrisa,4 years ago,positive
Pranay Bansal,5.0,although ambience best authentic italian pizzeria place good food disappointed left licking finger even completely full pizza lasagna starter cherry top waiter enthusiastically heloing u entire meal loved place definitely recommend food service atmosphere food service atmosphere,7 months ago,positive
Surendranath Reddy,4.0,really good italian food one place city manages stay consistent quality taste yes bit premium quality ingredient also good ambience great love openness restaurant time favourite pollo di picante also love pizza literally bar well stocked dessert delicious service good overall definitely treat food service atmosphere recommended dish mocktail food service atmosphere recommended dish mocktail,7 months ago,positive
matthew pretorius,5.0,pizza terrible service good atmosphere bad food service atmosphere food service atmosphere,a week ago,negative
Abhinav Sharma,4.0,first place fell love ambience food recently visited almost year got slightly disappointed food rest everything especially service ambience great food service atmosphere food service atmosphere,5 months ago,positive
Niraag Shah,4.0,one oldest pizza place kolkata great food great service great option great ambiance must go place visiting city vegetarian option many option vegetarian food yes bring kid without hesitation wheelchair accessibility easily bring wheelchair food service atmosphere recommended dish bruschetta al pomodoro pizza india parking space somewhat difficult find parking parking option free street parking food service atmosphere recommended dish bruschetta al pomodoro pizza india parking space somewhat difficult find parking parking option free street parking,5 months ago,positive
Namrota Sinha,5.0,amazing family coulple friendly place offer italian delicacy best tried vodka martini pizza pasta tiramisu chocolate moose little bit expensive place,4 months ago,positive
Monalisa Singh Roy,5.0,best pizza place kolkata without doubt price higher end totally worth every dime,3 years ago,positive
Joyaprita Samanta,2.0,food upto mark pizza bread hard main reason low rating charged service tax bill even gst asked upon tried manage saying optional optional present bill first time right customer asks forced pay service tax along gst fair,5 years ago,negative
Ashish Gulgulia,3.0,taste okay okay fan pizza experiment different topping worth price,5 years ago,positive
Sheetal Sahal,3.0,went place heard lot place dnt like much service good food ok,3 years ago,positive
Magi K,5.0,best italian restaurant u get pasta pizza yummy nice ambience food service atmosphere food service atmosphere,4 months ago,positive
Anshul Sharma,5.0,quite rare come across fine experience pizza mouthwatering delicious satisfying wait get back place,2 years ago,positive
bala gopal,4.0,well maintained place extremely courteous staff great spot try great pizza good price,5 months ago,positive
Jitesh Gupta,5.0,remember pizza name come mind fire ice pizzeria truly delicious cheesy pizza available check place assure u wo disappointed,a year ago,positive
SHADAB AHMED,5.0,visit office friend food worth price ambience absolutely amazing ordered la marinara dessert tasty offer sometimes well vegetarian option amazing vegetarian food food service atmosphere recommended dish pollo pizza food service atmosphere recommended dish pollo pizza,7 months ago,positive
Stephan Wu,4.0,one authentic italian restaurant kulkata however quite expensive local standard clean enjoyable atmosphere,6 years ago,positive
Aayati Sengupta,3.0,going fire ice last ten year one thing consistently good pizza however lot else slipped crack yesterday visit quite year temperature check hand sanitizing entrance shown table place relatively uncrowded seen jampacked restaurant walk park street bonus book pandemic however disappointed find salt pepper shaker table well next empty ginger ale served without mint leaf even though specified couple mint leaf provided chilli oil clearly outlived day bottle chilli oil table ancient chilli heat oil also disappointing since introduced good chilli oil pizza fire ice hope establishment put little bit effort getting place back original day however pizza still taste great soft flaky thin crust fresh cheese fresh marinara fresh ingredient,2 years ago,positive
Sayantani Chatterjee,5.0,amicable environment quick precise service pricey good food,a year ago,positive
Disha Dugar,5.0,food amazing usual found parking nearby building add great ambience niche crowd soulful food,3 years ago,positive
Proshanto Dutta,5.0,one best experience restaurant food service atmosphere food service atmosphere,a month ago,positive
Non Microwaveable,5.0,place interesting vibe like old world italy decor choice music meet upscale cosmopolitan pizzeria decor swanky bar tad expensive food make order right paesana spinach bacon know never disappoints,5 years ago,positive
Nallipogu Chandu,5.0,chill ambience great pizza cocktail image shown fire n ice pizza funghi highly recommended cocktail ordered long island iced tea refreshing afternoon heat,7 months ago,positive
Sharmila Chakravorty,5.0,nice food lively ambience highly recommended food service atmosphere food service atmosphere,a month ago,positive
Tuhin Adhikary,5.0,place number occasion probably writing review fire ice first time personally enjoyed dining everytime went food quality variety really good ambience friendly however might find price notch higher summarise nice place family dining food service atmosphere food service atmosphere,8 months ago,positive
Ravi Dey,5.0,excellent food service improve many waiter attentive food service atmosphere food service atmosphere,5 months ago,positive
Natalie Pote,5.0,really good italian food one place city manages stay consistent quality taste yes bit premium quality ingredient also good ambience great love openness restaurant time favourite pollo di picante also love pizza literally bar well stocked dessert delicious service good overall definitely treat,11 months ago,positive
Papiya Belel,5.0,pizza lover pretty impressed looking pizza pizza look fresh delicious tasty cheese real served beautifully need break trass place go,7 months ago,positive
Rid Jalan,5.0,full star across board gone dinner good showed next day lunch best italian food eaten long long time easily best italian food eaten india phenomenal pizza starter keep food service atmosphere food service atmosphere,10 months ago,positive
Gitika Sonthalia,4.0,place serf authentic italian food rich taste flavor ambience lively need book table weekday staff service quite slow food worth price perfect place cute dinner date suitable family well must try pizza pesto pasta,a year ago,positive
Zeenat Siddique,3.0,okaish food ordered pasta pizza mark per price food service atmosphere food service atmosphere,4 weeks ago,neutral
John Napier,5.0,great food close possible authentic alio e olio cheesy pizza friendly service late night shortcoming serving wine glass two people always want whole bottle vegetarian option good vegetarian menu,8 months ago,positive
Mallik Sivalenka,4.0,food delicious like chilled beer ambience good cold like ice vegetarian option option veg taste good food service atmosphere recommended dish food service atmosphere recommended dish,4 months ago,positive
Amrita Das,4.0,good place chill friend chef special pizza beer place suitable family kind hard available beer price average good option italian lover,4 years ago,positive
Mario Jelavic,4.0,real italian pizzeria heart kokata price higher italy price eat best restaurant kolcata,5 years ago,positive
Jayita Banerjee,3.0,year christmas food u fire ice one u known pizza excited visit place tym ordered pollo pizza coke big enough share people completely value money going quantity taste way simple might mistake selecting right item overall experience,4 years ago,positive
Basically Basit (Mir Basit),5.0,food service atmosphere place fab never get type quality anywhere town food service atmosphere food service atmosphere,4 months ago,positive
Samikshaa Dokania,5.0,fire ice pizzeria offer authentic italian experience chef naples thin crust pizza pasta transport italy one bite pictured margherita pizza spaghetti arrabbiata also must try aglio olio e peperoncino,3 years ago,negative
Juthika Kamdar,5.0,visiting place close year amazing food quick service quality food year well maintained place one must visit good italian wood oven pizza,3 years ago,positive
Stuti Jalan,5.0,definitely recommend place pizza crust amazing quality food perfect one best pizzeria kolkata,2 years ago,positive
Satish Kumar Mahankuda,5.0,place really cozy th interior deaign pleasure eye food good taste flavor cuisine musy try maidan area,6 years ago,positive
Ritwika h,3.0,interior good ambience good food alright expecting little bit better food part cost,6 years ago,positive
smile shrivastav,5.0,visited place kolkata pizza mocktails fire ice pizza best specialty food service atmosphere recommended dish food service atmosphere recommended dish,5 months ago,positive
Debottamaa Sarkar,5.0,one oldest pizzeria town fire ice located convenient place opposite jeevan deep gate maidan metro combine bollywood nostalgia retro italia,4 years ago,negative
Deepak Kumar Biswal,5.0,nice place want try pizza though find le people wo regret restaurant atleast food service atmosphere food service atmosphere,7 months ago,positive
Aprine Musician,5.0,best place pizza italian food would love visit food service atmosphere food service atmosphere,4 months ago,positive
Bibhas Banik,4.0,pollo pizza like mocktail alveredo good like adam choice,3 years ago,positive
Jitagna Mehta,5.0,always looked place visited business lunch last yr first time went family better ever remembered ordered veg platter antipasti pizza grilled vegetable topping also soup simply outstanding ambience good international feel service also good overall great experience expect facility charge person meal,a year ago,positive
Soumyadev Das,5.0,ambiance staff behavior good,a year ago,positive
Martin Schneider,4.0,pizza delicious price one pizza starting r high worth price beer bit expensive therefore overall star price le might given food service atmosphere food service atmosphere,9 months ago,positive
Esita Banik,5.0,nice place authentic pizza heaven pizza lover serve alcohol well good wine collection,4 years ago,positive
Mihir S,1.0,ordered al fungi white sauce pasta fire ice zomato know dish received good rating many area pasta near authentic italian tasted like milk taste repulsive chef know make white sauce pasta cost thigh best pasta half price,a year ago,positive
Rohan hore,4.0,nice ambience pizza tasty picture attached,3 years ago,positive
Drishadwati Bhattacharya,2.0,disappointing experience pizza dry butter sage gnochhi little quantity drink watered bar staff appeared little knowledge mixing drink bad service subpar food drink,8 months ago,negative
Soumitra Bandyopadhyaya,3.0,food good service impersonal upto mark,5 years ago,positive
sheetal bhanage,5.0,hand place must try fir italian food price little high worth spending order two different pizza one food service atmosphere food service atmosphere,7 months ago,positive
Swopnali Ghadage Kadam,5.0,beautiful spacious well maintained place good ambiance fusion food available menu huge must visit place,7 months ago,positive
Deepa Iyer,1.0,one worst pizza ever hard extremely exorbitant price unfriendly staff better avoid place,6 months ago,negative
Risa Mullick,4.0,one best italian city maintaining standard quite sometime food worth cost ambiance classic old school movie type service could better lately,a year ago,positive
ARIJIT GANGULY,4.0,good food expensive make sure checking bill including separate service charge,5 years ago,positive
Arpita Taunk,5.0,place nice mocktails even suggest good mocktails according preference cafe like vibe food service atmosphere food service atmosphere,7 months ago,positive
Anuja,5.0,visited place christmas must appreciate ambience well pizza food service atmosphere recommended dish food service atmosphere recommended dish,4 months ago,positive
Juhi Katara,5.0,tiramisu must try hawaiian pizza good miss food service atmosphere food service atmosphere,4 months ago,positive
Angadraj Singh,5.0,easily best pizza experience kolkata notch others ambience staff polite nearest metro maidan metro slightly overpriced worthy visiting fresh food served great place food service atmosphere food service atmosphere,10 months ago,positive
Susmita Chakraborty,5.0,awesome place try mouth watering pizza affordable price staff well behaved restaurant clean good ambience taste food delicious food service atmosphere food service atmosphere,9 months ago,positive
ashish jaiswal,5.0,ordered magarita pizza liked quantity quality food even packaging good neat,7 months ago,positive
Sparsh Nag,4.0,pleasant evening december beer chatted staff quite good pricey,4 years ago,positive
Viraj Singh Bhutoria,5.0,well maintained italian restaurant variety pizza rissoto pasta various italian dish unique taste especially pizza,10 months ago,positive
navneet bhattar,4.0,nice place italian dish pocket friendly place food service atmosphere parking space somewhat difficult find parking parking option paid street parking food service atmosphere parking space somewhat difficult find parking parking option paid street parking,5 months ago,positive
Anusua Adhikary,5.0,best authentic italian food kolkata food service atmosphere food service atmosphere,a month ago,positive
Rukkku Rukku,5.0,staff friendly respectful whole place clean rare site see india happy food service atmosphere food service atmosphere,7 months ago,positive
Christian Ladisa,5.0,one best restaurant kolkata best pasta best pizza food service atmosphere food service atmosphere,a month ago,positive
Kaushik Meta,5.0,excellent ambience really good food certain item like carbonara slightly expensive good taste food service atmosphere recommended dish carbonara pasta food service atmosphere recommended dish carbonara pasta,7 months ago,positive
L B,5.0,food authentic unlike thoes place indian style italian food,4 years ago,neutral
S Sana Syed,5.0,good ambience awesome delicious food definitely place visit family freinds,7 months ago,positive
moumita dutta,5.0,really good italian food quality taste better also decoration place nice food service atmosphere food service atmosphere,9 months ago,positive
Dilpreet Kaur Bedi,4.0,loved bloody mary antipasto platter non veg great visited fire ice almost year fact maintained quality food service say lot place classic indeed,a year ago,positive
Vikash Singh,4.0,really nice place pizza top class interior soothing ambience make good time chatting friend enjoying food drink love pizza got ta atleast,2 years ago,positive
Saikat Ray,5.0,brilliant survived rest time even full food service atmosphere food service atmosphere,3 months ago,positive
Rekha Jadhav,5.0,good place eat nice service probably suggested food service atmosphere recommended dish half half pizza india risotto chicken liver garlic food service atmosphere recommended dish half half pizza india risotto chicken liver garlic,7 months ago,positive
Priyankar Singha,5.0,one favorite restaurant kolkata,4 years ago,positive
shreyash shah,4.0,ordered couple vegeterian pizza place really nice surely would recommend food service atmosphere food service atmosphere,8 months ago,positive
smita parekh,5.0,good place n yum pizza,2 years ago,positive
Arnab Chatterjee,5.0,pollo pizza added becon one delicious pizza kolkata service ambiance restaurant good highly recommended pizza lover,a year ago,positive
Raj Goyal,5.0,closet come dining sicily kolkata food service atmosphere food service atmosphere,a month ago,neutral
Rishika,5.0,pizza superb taste appearance staff friendly,7 months ago,positive
Manasa Viputh,5.0,really good italian food one place city manages stay consistent quality taste yes bit premium quality ingredient also good ambience great love openness restaurant time favourite pollo di picante also love pizza literally bar well,7 months ago,positive
harsh Barbigahiya,5.0,first visit place pretty impressed place place pretty good seating area big big bar get kind fusion based food recommend try specialty pasta item pasta good enough person vegetarian need disappointed vegan based food well price higher may enjoy lot however food quality really really awesome cocktail section also good lot variety going friend planning quick bite must visit place vegetarian option verious option vegetarian food service atmosphere recommended dish pesto bacon pizza food service atmosphere recommended dish pesto bacon pizza,8 months ago,positive
kinjal banerjee,3.0,overhyped pizza pie slightly better average topping qty low disappointing tiny bit pepperoni prosciutto cheese strewn lasagne pasta decent chocolate mousse nice thing good service staff super helpful overall slightly better average best,a year ago,positive
Arkadev Bhattacharya,3.0,ham mushroom pizza mozarella cheese tasted good crust well prepared priced serve small amount topping hardly ham piece mushroom costed nearly tax ambience good doubt,a year ago,positive
Siddharth Sethia,4.0,good food extremely noisy food service atmosphere recommended dish food service atmosphere recommended dish,4 months ago,positive
Vikash Parmanandka,5.0,visiting restaurant since year may year service food quality maintained pizza server among best city best part consistent located near metro station easily accessible however parking one car could trouble ambience nice loud music perfect place dinner pizzeria,5 years ago,positive
Piyali Ghosh,4.0,taste good,9 months ago,positive
Joy chakraborty,5.0,looking real taste pizza since came back italy delighted find long based experience certify find authentic taste italy highly recommend place better pay real one waste money fake one trying place,2 years ago,positive
Veeral Kamalia,5.0,place right top list rank best pizza kolkata food great bar twice extremely unhappy behaviour staff staff behaved please come eat way price point food customer walk would expect decent warm welcome blatantly missing luxury dining restaurant road side eatery customer centricity corner stone hospitality industry strongly recommend staff trained usually decent tipper place sigh,3 years ago,positive
Debjit Saha,5.0,good well maintained place food quality good price also reasonable food service atmosphere food service atmosphere,7 months ago,positive
Natasha Sharma,5.0,absolutely fantastic place pizza pasta baked delight go often friend absolute favourite f offer great variety drink absolutely fantastic vibe also good variety menu vegetarian located heart city really convenient reach deserves nothing le star,6 years ago,positive
Ritaja Chakraborty,5.0,cozy comfy casual place good friend family gathering also good warm cozy date night partner food authentic amazing best pizza ever faip definitely visit mind one thing cheap place,5 years ago,positive
Rahul Jain,2.0,well living kolkata year realised place authentic italian actually food taste bland may good people love authentic stuff visited high hope dashed,2 years ago,positive
Samyuktha Prakash,4.0,server preoccupied talking excluding service ambience food good,4 years ago,positive
Flo Yeow,4.0,actually quite like place typically quiet get attention need server said much pricey compared restaurant vicinity one italian restaurant nonetheless give due credit deserve oven fired pizza really good try pasta risotto hand average drink super pricey take note,6 years ago,positive
Pulkit Goswami,5.0,different pizza hometown delhi mean different iced tea amazing bar everything liquor ranging old monk glen little costly side place totally worth staff courteous well,4 years ago,positive
Sayan Banerjee,1.0,worst pizza ever life even r domino pizza far better stupidly expensive add percent service charge without even asking,a year ago,negative
Ankita Gupta,1.0,ordered funghi pizza got hair inside server even apologetic said happens,9 months ago,neutral
Rajyashree Dutta,5.0,place look beautiful crowded,2 years ago,positive
Pratip Mazumder,2.0,good old place food good waiter knowledgeable help much idea choose food case made choose tasteless bland concoction maida potato simply horrible felt paid buck plate boiled maida pizza good taken authentic italian trying across india incase think one mentioned bland supposed bad ca hidden italian cover waiter boldly suggested foolish thing,2 years ago,positive
Rohit Kathotia,5.0,always great great food great place good crowd good place bump old friend legend say great pizzeria fire ice vegetarian option enough quite adequate eggless dessert would add variety kid love everything pizza perfect pasta liking loved parmesan shaving get,a year ago,positive
Lakhshya Verma,1.0,well coz heard lot place disappointed outside calcutta friend tell great place called fire ice please get fooled friend nice thing happen come average service average food average ambience service barely server ca even pronounce serving let alone hygiene yes smell horrible get closer serve spoiler alert love trust though restaurant located central place parking nightmare,4 years ago,positive
Manish Mohta,4.0,excellent place italian fare great vegetarian option also serf drink dish fresh nice pizza spaghetti tiramisu nice service fast attentive need ready diisapear pause mid sentence,4 years ago,positive
aishwarya das,5.0,amazing place chill price higher side though,4 years ago,positive
Payal Merchant Kumar,4.0,place known pizza pasta authentic italian service excellent overall good place dine full weekend make sure go place time,a year ago,positive
Ashish Bagree,5.0,half half pizza funghi four cheese along couple beer food great ambiance good bit expensive side okay occasional outing,a year ago,positive
Vikramjit Biswas,4.0,fell love place first time visited ambience great service however last time went quite disappointed see evident change staff behaviour service deteriorated like place whi fail live standard set beginning pizza still tasty however even quantity topping become quite sad tiramisu yummy serve quantity quality compromised,5 years ago,positive
Saswata Kar,5.0,liked food way crowdy food service atmosphere food service atmosphere,5 months ago,positive
mohit vohra,5.0,great time fire ice pizzeria food dessert mocktails point family enjoyed much thanks food service atmosphere food service atmosphere,10 months ago,positive
Nikita Jain,3.0,good ambience good food costly,5 years ago,positive
Swati Ghosh,5.0,yearning authentic italian pizza calcutta look one closest pizza fry italy,a year ago,positive
anindita ghosh,1.0,horrible experience stale prawn seafood pizza entire service staff vikas thappa mr aruna rampal stand argue like food come back restaurant ofcourse extremely agitated angry wanted pay rest bill stale pizza,2 years ago,negative
Arhan Sett,4.0,though slightly pricey side food excellent wait staff cordial friendly part restaurant weird quirk condiment refused serve friend parmesan shaving garnish antipasti expensive product however say included vegetarian antipasti strange occurrence perhaps one consider thinking visiting however detract quality food,5 years ago,positive
Debayan Aich,2.0,pizza price ok ca said drink price coke worth buck seems unresonable pizza good crust thin taste recommended hungry,2 years ago,positive
Husrav Turdiev,3.0,pizza tasted surprise amazing premise fact large spacious sure local area price may bit high since tax added amount almost double price food obviously always improvement opportunity,3 years ago,positive
Dnyaneshwar Harale,5.0,pleasing ambience delicious food soothing italian music playing background best describe fire ice pizzeria food service atmosphere food service atmosphere,7 months ago,positive
Samya Subhro Roy,5.0,pizza awesome ambience service great,2 years ago,positive
Bharadwaj Korni,5.0,friday night deepavali weekend crowded managed sneak find place heavenly pizza prompt service place old world charm,a year ago,positive
Jitendra Sahoo,5.0,neat clean please positive ambiance nice service,7 months ago,positive
